COMPANY,MODEL_ID,MODEL_NAME,TARGET_DATABASE,TARGET_SCHEMA,TARGET_TABLE,SOURCE_DATABASE,SOURCE_SCHEMA,SOURCE_TABLE,SOURCE_JOIN_FILTER_CONDITION,LOAD_RUN_TYPE,LOADER,LOAD_SOURCE_INSERT_COLUMN,SCHEMA_FILTER,IS_COMPLETED,IS_ACTIVE,INSERT_DATE,UPDATE_DATE
HE,SITE_GROUP_HE,SITE_GROUP_HE,DEV_BASE_DB,RV,SAT_SITE_GROUP_HE,STITCH_LANDING_DB,HE,PORTFOLIO,RECORD_SITE_GROUP_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,SITE_HE,SITE_HE,DEV_BASE_DB,RV,SAT_SITE_HE,STITCH_LANDING_DB,HE,ENT_DIM_ENTITY,RECORD_SITE_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,SITE_LIST_HE,SITE_LIST_HE,DEV_BASE_DB,RV,SAT_SITE_LIST_HE,STITCH_LANDING_DB,HE,HOTEL_GROUP,RECORD_SITE_LIST_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,SITE_SITE_LIST_HE,SITE_SITE_LIST_HE,DEV_BASE_DB,RV,LNK_SITE_SITE_LIST_HE,STITCH_LANDING_DB,HE,HOTEL_GROUP_ENT,RECORD_SITE_LIST_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,SITE_SUBGROUP_HE,SITE_SUBGROUP_HE,DEV_BASE_DB,RV,LNKSAT_SITE_SUBGROUP_HE,STITCH_LANDING_DB,HE,PORTFOLIO_SUBGROUP,RECORD_SITE_SUBGROUP_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,SITE_SITE_SUBGROUP_HE,SITE_SITE_SUBGROUP_HE,DEV_BASE_DB,RV,LNKSAT_SITE_SITE_SUBGROUP_HE,STITCH_LANDING_DB,HE,PORTFOLIO_SUBGROUP_ENTITY,RECORD_SITE_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AC,ACCOUNT_HUBSPOT_HE,ACCOUNT_HUBSPOT_HE,DEV_BASE_DB,RV,SAT_ACCOUNT_HUBSPOT_HE,STITCH_LANDING_DB,HUB_SPOT_HE,COMPANIES,RECORD_ACCOUNT_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AC,CAMPAIGN_HUBSPOT_HE,CAMPAIGN_HUBSPOT_HE,DEV_BASE_DB,RV,SAT_CAMPAIGN_HUBSPOT_HE,STITCH_LANDING_DB,HUB_SPOT_HE,CAMPAIGNS,RECORD_CAMPAIGN_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,USER_HE,USER_HE,DEV_BASE_DB,RV,LNKSAT_USER_HE,STITCH_LANDING_DB,HE,WEBUSER,RECORD_USER_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,USER_TYPE_HE,USER_TYPE_HE,DEV_BASE_DB,RV,REF_USER_TYPE_HE,STITCH_LANDING_DB,HE,WEBUSER_TYPES,RECORD_USER_TYPE_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,USER_ACCOUNT_HE,USER_ACCOUNT_HE,DEV_BASE_DB,RV,LNKSAT_USER_ACCOUNT_HE,STITCH_LANDING_DB,HE,WEBUSER_ACCT,RECORD_USER_ACCOUNT_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,USER_SITE_HE,USER_SITE_HE,DEV_BASE_DB,RV,LNKSAT_USER_SITE_HE,STITCH_LANDING_DB,HE,WEBUSER_HOTEL,RECORD_USER_SITE_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
HE,USER_LOGIN_AUDIT_HE,USER_LOGIN_AUDIT_HE,DEV_BASE_DB,RV,LNKSAT_USER_LOGIN_AUDIT_HE,STITCH_LANDING_DB,HE,WEBUSER_LOGIN_AUDIT,RECORD_USER_LOGIN_AUDIT_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
AL,USER_AL,USER_AL,DEV_BASE_DB,RV,LNKSAT_USER_AL,STITCH_LANDING_DB,ALICE_ALICE,HOTEL_USER,RECORD_USER_ID IS NOT NULL,FULL,STITCH,_SDC_RECEIVED_AT,,FALSE,TRUE,,
PS,USER_PS,USER_PS,DEV_BASE_DB,RV,SAT_USER_PS,DEV_RAW_PS_DB,PS_ALL,SECURITY,RECORD_USER_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
TR,USER_TR_MAR,USER_TR_MAR,DEV_BASE_DB,RV,SAT_USER_TR_MAR,DEV_RAW_TR_DB,MARRIOTT,DIM_USERS,RECORD_USER_ID IS NOT NULL,FULL,ADF,USER_RECORD_LAST_MODIFIED_DATE,,FALSE,TRUE,,
PS,GSS_TYPE_PS,GSS_TYPE_PS,DEV_BASE_DB,RV,LNKSAT_GSS_TYPE_PS,DEV_RAW_PS_DB,PS_ALL,GSSTYPES,RECORD_GSS_TYPE_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,GSS_ITEM_PS,GSS_ITEM_PS,DEV_BASE_DB,RV,LNKSAT_GSS_ITEM_PS,DEV_RAW_PS_DB,PS_ALL,GSSITEMS,RECORD_GSS_ITEM_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,OPTION_PS,OPTION_PS,DEV_BASE_DB,RV,LNKSAT_OPTION_PS,DEV_RAW_PS_DB,PS_ALL,OPTIONS,RECORD_OPTION_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,TRANSACTION_PS,TRANSACTION_PS,DEV_BASE_DB,RV,TSAT_TRANSACTION_PS,DEV_RAW_PS_DB,PS_ALL,TRANSACTIONS,RECORD_TRANSACTION_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,TRANSACTION_DAY_DETAIL_PS,TRANSACTION_DAY_DETAIL_PS,DEV_BASE_DB,RV,TSAT_TRANSACTION_DAY_DETAIL_PS,DEV_RAW_PS_DB,PS_ALL,TRANSACTIONSDAYDETAIL,RECORD_TRANSACTION_DAY_DETAIL_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,TRANSACTION_MONTH_PS,TRANSACTION_MONTH_PS,DEV_BASE_DB,RV,TSAT_TRANSACTION_MONTH_PS,DEV_RAW_PS_DB,PS_ALL,TRANSACTIONSMONTH,RECORD_TRANSACTION_MONTH_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,TRANSACTION_PERIOD_PS,TRANSACTION_PERIOD_PS,DEV_BASE_DB,RV,TSAT_TRANSACTION_PERIOD_PS,DEV_RAW_PS_DB,PS_ALL,TRANSACTIONSPERIOD,RECORD_TRANSACTION_PERIOD_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,SEGMENTATION_PS,SEGMENTATION_PS,DEV_BASE_DB,RV,LNKSAT_SEGMENTATION_PS,DEV_RAW_PS_DB,PS_ALL,SEGMENTATION,RECORD_SEGMENTATION_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,TYPE_PS,TYPE_PS,DEV_BASE_DB,RV,LNKSAT_TYPE_PS,DEV_RAW_PS_DB,PS_ALL,TYPES,RECORD_TYPE_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,CALENDAR_PS,CALENDAR_PS,DEV_BASE_DB,RV,SAT_CALENDAR_PS,DEV_RAW_PS_DB,PS_ALL,CALENDAR,RECORD_CALENDAR_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
PS,CALENDAR_DAY_PS,CALENDAR_DAY_PS,DEV_BASE_DB,RV,LNKSAT_CALENDAR_DAY_PS,DEV_RAW_PS_DB,PS_ALL,CALENDARDAY,RECORD_CALENDAR_DAY_ID IS NOT NULL,FULL,ADF,L_UPDATE_DATE,PUBLICT.TEST,FALSE,TRUE,,
